问题,回答
你们有哪些咖啡可以选择？,"我们提供多种经典咖啡饮品：美式咖啡（醇香浓郁）、拿铁（香浓奶香）、卡布奇诺（奶泡丰富）、摩卡（巧克力风味）、焦糖玛奇朵（甜香浓郁）、香草拿铁（温和香甜）。还有冰美式、冰拿铁等冰饮选择。"
美式咖啡是什么口感？,"美式咖啡是我们的经典款，采用优质阿拉比卡咖啡豆制作，口感醇厚浓郁，带有天然的咖啡香气和适度的苦味，回甘明显。不加糖不加奶，能品尝到咖啡最纯正的味道，适合喜欢浓郁咖啡味的客人。"
拿铁和卡布奇诺有什么区别？,"拿铁和卡布奇诺都是意式浓缩加牛奶制作。拿铁的牛奶比例更高，奶泡较薄，口感更温和顺滑，奶香浓郁；卡布奇诺的奶泡更厚更丰富，咖啡味更突出。拿铁适合喜欢奶香的客人，卡布奇诺适合想要平衡咖啡和奶味的客人。"
摩卡咖啡有什么特色？,"摩卡咖啡是咖啡与巧克力的完美结合，以意式浓缩为基底，加入香浓的巧克力糖浆和蒸汽牛奶，顶部覆盖奶泡和可可粉。口感香甜浓郁，既有咖啡的醇香又有巧克力的甜腻，非常适合喜欢甜品口感的客人。"
焦糖玛奇朵是怎么制作的？,"焦糖玛奇朵是我们的人气饮品，先在杯底加入香草糖浆，倒入蒸汽牛奶，再轻柔地倒入意式浓缩，最后在表面淋上焦糖酱。层次分明，口感丰富，甜香浓郁，是很多女性客人的最爱。"
香草拿铁适合什么人群？,"香草拿铁在经典拿铁基础上加入了天然香草糖浆，口感更加温和香甜，咖啡的苦味被很好地平衡。特别适合不太能接受苦味、喜欢甜味的客人，也是咖啡入门者的好选择，老少皆宜。"
你们有冰饮咖啡吗？,"当然有！我们提供多种冰饮咖啡：冰美式（清爽醒神）、冰拿铁（丝滑奶香）、冰摩卡（甜腻解腻）、冰焦糖玛奇朵（层次丰富）。夏天特别推荐冷萃咖啡，口感更加顺滑，酸度更低，非常适合炎热天气饮用。"
你们推荐什么咖啡饮品？,"根据不同喜好我们有不同推荐：喜欢纯正咖啡味选美式；喜欢奶香选拿铁；想要丰富口感选卡布奇诺；喜欢甜味选摩卡或焦糖玛奇朵；咖啡新手推荐香草拿铁；夏天推荐冰美式或冷萃咖啡。"
咖啡制作需要多长时间？,"我们的咖啡制作时间很快：美式咖啡约1-2分钟，拿铁、卡布奇诺约2-3分钟，摩卡、焦糖玛奇朵约3-4分钟。我们使用专业意式咖啡机，确保每杯咖啡的品质和口感。高峰期可能稍有延迟，请您耐心等待。"
咖啡豆应该怎么保存？,"咖啡豆应该密封保存在阴凉干燥处，避免阳光直射和高温。建议使用密封性好的咖啡罐，不要放冰箱。烘焙后2-4周是最佳饮用期，开封后1-2周内饮用完毕，研磨后的咖啡粉建议当天使用。"
你们有无咖啡因的咖啡吗？,"我们提供低咖啡因版本的经典饮品，包括低咖啡因美式、低咖啡因拿铁等。采用瑞士水处理法去除咖啡因，保留原有风味，咖啡因含量低于0.1%。适合对咖啡因敏感、孕妇或晚上想喝咖啡的客人。"
你们的咖啡有什么尺寸？,"我们提供三种尺寸：小杯（240ml）、中杯（360ml）、大杯（480ml）。不同饮品的推荐尺寸略有不同，美式咖啡建议中杯或大杯，拿铁类饮品小杯或中杯口感最佳。您可以根据个人需求选择合适的尺寸。"
意式浓缩和美式咖啡有什么区别？,"意式浓缩是用高压萃取的浓缩咖啡，容量约30ml，口感浓郁醇厚；美式咖啡是在意式浓缩基础上加入热水稀释，容量约240-480ml，口感相对温和。我们使用优质阿拉比卡咖啡豆拼配制作意式浓缩，口感平衡香甜。"
拿铁和卡布奇诺有什么不同？,"拿铁和卡布奇诺都是意式浓缩加牛奶制作。拿铁的牛奶比例更高，奶泡较薄，口感更温和顺滑；卡布奇诺的奶泡更厚，咖啡味更浓郁。拿铁适合喜欢奶香的客人，卡布奇诺适合想要平衡咖啡和奶味的客人。"
你们的咖啡豆是现烘的吗？,"是的，我们所有咖啡豆都是小批量现烘，确保新鲜度。每批咖啡豆都会标注烘焙日期，建议在烘焙后2-4周内饮用以获得最佳风味。我们每周烘焙2-3次，保证客人买到的都是新鲜咖啡豆。"
冷萃咖啡是怎么制作的？,"冷萃咖啡使用冷水长时间萃取，通常需要12-24小时。我们使用粗研磨的咖啡粉，以1:8的比例用冷水浸泡18小时，然后过滤。冷萃咖啡酸度更低，口感更顺滑，咖啡因含量也相对较高，适合夏天饮用。"
你们有咖啡课程吗？,"我们定期举办咖啡品鉴课程和手冲技巧培训。包括咖啡基础知识、品鉴技巧、手冲操作、拉花艺术等。课程分为入门级和进阶级，由专业咖啡师授课，还可以品尝不同产区的咖啡。具体时间请关注我们的公告。"
咖啡研磨度对口感有什么影响？,"研磨度直接影响萃取效果和口感。细研磨萃取快，适合意式浓缩；中细研磨适合手冲；粗研磨萃取慢，适合法压壶和冷萃。研磨过细会过度萃取产生苦味，过粗则萃取不足显得寡淡。我们建议根据冲泡方式选择合适的研磨度。"
什么时候喝咖啡最好？,"建议在上午9-11点和下午2-4点饮用咖啡，这时皮质醇水平相对较低，咖啡因效果最佳。避免在睡前6小时内饮用，以免影响睡眠。空腹时建议先吃点东西再喝咖啡，减少对胃部的刺激。"
